angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.09,"[239, 85, 101, 127]",0.0,0.29,0.01,0.4,0.21,0.01
0.02,"[240, 85, 100, 128]",0.0,0.4,0.04,0.43,0.09,0.02
0.04,"[240, 85, 102, 132]",0.0,0.23,0.18,0.43,0.09,0.04
0.11,"[239, 88, 103, 131]",0.0,0.22,0.33,0.24,0.05,0.04
0.06,"[238, 91, 102, 127]",0.0,0.36,0.05,0.32,0.16,0.06
0.06,"[245, 92, 99, 125]",0.0,0.38,0.0,0.28,0.26,0.02
0.13,"[242, 93, 102, 126]",0.0,0.4,0.0,0.2,0.27,0.0
0.17,"[242, 93, 100, 129]",0.0,0.32,0.0,0.18,0.33,0.0
0.12,"[242, 93, 103, 131]",0.0,0.3,0.0,0.34,0.23,0.0
0.16,"[237, 97, 105, 130]",0.0,0.34,0.01,0.31,0.17,0.02
0.03,"[240, 94, 104, 136]",0.0,0.28,0.03,0.5,0.15,0.02
0.12,"[240, 96, 104, 132]",0.0,0.31,0.14,0.26,0.1,0.08
0.15,"[236, 98, 102, 127]",0.0,0.18,0.06,0.04,0.05,0.51
0.11,"[239, 95, 104, 132]",0.0,0.38,0.08,0.24,0.1,0.09
0.05,"[238, 94, 105, 131]",0.0,0.34,0.01,0.43,0.16,0.01
0.08,"[240, 96, 102, 126]",0.0,0.29,0.0,0.33,0.3,0.0
0.07,"[239, 96, 103, 129]",0.0,0.2,0.0,0.19,0.54,0.0
0.14,"[238, 97, 104, 127]",0.0,0.11,0.0,0.53,0.21,0.0
0.06,"[238, 94, 105, 132]",0.0,0.29,0.04,0.45,0.14,0.01
0.12,"[237, 94, 104, 136]",0.0,0.37,0.15,0.19,0.16,0.02
0.1,"[239, 94, 102, 134]",0.0,0.48,0.14,0.08,0.15,0.04
0.15,"[242, 95, 101, 127]",0.0,0.36,0.09,0.14,0.12,0.13
0.1,"[243, 96, 100, 125]",0.0,0.25,0.07,0.28,0.1,0.19
0.08,"[243, 96, 100, 124]",0.0,0.19,0.06,0.43,0.12,0.13
0.15,"[241, 93, 103, 130]",0.0,0.37,0.12,0.16,0.16,0.04
0.09,"[242, 92, 102, 130]",0.0,0.23,0.08,0.38,0.18,0.04
0.14,"[241, 93, 103, 130]",0.0,0.3,0.1,0.25,0.17,0.04
0.11,"[242, 93, 102, 130]",0.0,0.4,0.04,0.22,0.2,0.02
0.16,"[242, 93, 101, 129]",0.0,0.31,0.01,0.14,0.34,0.05
0.12,"[240, 92, 101, 132]",0.0,0.23,0.02,0.29,0.27,0.07
0.07,"[239, 91, 103, 134]",0.0,0.52,0.01,0.11,0.24,0.06
0.1,"[239, 91, 102, 132]",0.0,0.56,0.0,0.07,0.19,0.08
0.19,"[240, 91, 100, 129]",0.0,0.44,0.0,0.11,0.24,0.02
0.24,"[240, 92, 101, 127]",0.0,0.25,0.0,0.08,0.42,0.01
0.32,"[240, 93, 100, 127]",0.0,0.3,0.0,0.06,0.3,0.02
0.11,"[238, 96, 102, 127]",0.0,0.38,0.0,0.04,0.44,0.03
0.17,"[239, 91, 102, 131]",0.0,0.51,0.0,0.1,0.15,0.07
0.11,"[240, 93, 100, 130]",0.0,0.55,0.0,0.03,0.23,0.09
0.12,"[240, 93, 100, 130]",0.0,0.51,0.0,0.04,0.3,0.03
0.05,"[241, 91, 102, 130]",0.0,0.51,0.0,0.22,0.17,0.04
0.1,"[241, 92, 102, 131]",0.0,0.39,0.04,0.2,0.18,0.09
0.18,"[239, 90, 102, 133]",0.0,0.42,0.07,0.12,0.11,0.09
0.31,"[239, 88, 104, 137]",0.0,0.26,0.17,0.13,0.12,0.02
0.23,"[237, 92, 100, 127]",0.0,0.11,0.36,0.16,0.12,0.02
0.29,"[240, 93, 97, 124]",0.0,0.08,0.33,0.11,0.19,0.01
0.15,"[241, 94, 95, 120]",0.0,0.13,0.35,0.1,0.26,0.01
